language-name-text,Polski
heart-of-iron-ability-description,Otrzymaj |[armor]| równe twojemu |[health]|\n|<696969>WARUNEK AKTYWACJI: otrzymaj 3 trafienia|\n|<696969>resetuje się w każdej walce
mana-regen-ability-description,Całkowicie regeneruje zużyty zasób |[mana]
mind-control-ability-description,Wywołuje u wszystkich celów efekt|[confusion]
multi-cleanse-ability-description,[cleanse]|siebie i sojuszników
multi-heal-ability-description,Przywraca 25% zdrowia tobie i wszystkim sojusznikom
multi-magic-shield-ability-description,Zapewnia tobie i twoim sojusznikom efekt |[magic-shield]
multi-shield-ability-description,Zapewnia tobie i twoim sojusznikom |[ephemeral-armor]|\n|o wartości równej zasobowi |[health]
multi-stun-ability-description,Otrzymaj |[multi-attack-charge]| i |[stun-attack-charge]|;|\n|następnie zaatakuj|\n|<696969>WARUNEK AKTYWACJI: sparować atak|\n|<696969>reset w każdej walce
my-justice-ability-description,W tej turze otrzymujesz |[invulnerability]| oraz |[counter-attack-charge]||\n|<696969>WARUNEK AKTYWACJI: otrzymać |[invulnerability]|
my-way-ability-description,W tej turze otrzymujesz |[counter-attack-charge]||\n|<696969>WARUNEK AKTYWACJI: zaatakować 3 razy
noxious-empowerment-ability-description,Do końca tury podwaja |[toxicity]
persistent-payback-ability-description,[counter-attack]| do końca tury
prowlers-strike-ability-description,Za każdym trafieniem wroga w tej turze; zyskaj {agility-amount}% |[agility]||\n|<696969>WARUNEK AKTYWACJI: przynajmniej raz |[dodge]|<696969>
replay-ability-description,Aktywuj swoją ostatnio skopiowaną umiejętność|\n|<696969>WARUNEK AKTYWACJI: skopiować umiejętność
repulse-ability-description,[parry]| do końca tury
safeguard-ability-description,Zapewnia tobie i twoim sojusznikom |[armor]|\n|o wartości równej 25% statystyki |[max-health]
shatter-strike-ability-description,[armor-break]| przy trafieniu
silhouette-ability-description,Stań się |[elusive]| i zaatakuj|\n|<696969>WARUNEK AKTYWACJI: |[backstab]|\n|<696969>reset w każdej walce
spell-bind-ability-description,Wywołuje u celu efekt |[silence]
steady-grip-ability-description,W tej walce; twoje |[total-attacks]| zwiększa się o 1
steal-ability-description,Kradnie celowi|[gold]| o wartości 25% posiadanego
stun-attack-ability-description,Przy trafieniu wywołuje u celu efekt |[stun]
stun-strike-ability-description,Nakłada |[stun]| na cel przy trafieniu
toxic-attack-ability-description,Trafienie celu wywołuje 1 kumulację efektu |[poison]
venom-spit-ability-description,Wywołuje u celu kumulacje efektu |[poison]| w liczbie równej wartości statystyki|\n|[toxicity]
absolution-passive-description,Przy każdym ataku zadaj losowemu wrogowi |[magic-damage]|\n|w wysokości 5 pkt
all-is-mine-passive-description,Po rozpoczęciu tury kradniesz wszystkie|\n|wzmocnienia celu
arcane-control-passive-description,Za każdym razem gdy unikasz ataku; twoja |[magic-shield]| pęka i natychmiast się odnawia
arcane-equilibrium-passive-description,Na koniec każdej tury; przekształć |[invulnerability]| wszystkich|\n|w |[magic-shield]
battleborn-passive-description,Za każdym razem gdy |[parry]|; nałóż na cel |[stun]|
battleforged-heart-passive-description,Gdy twoja |[armor]| zostanie uszkodzona; przekształć|\n|tę wartość w |[max-health]|\n|<696969>resetuje się co bitwę
beyond-the-grave-passive-description,Na koniec tury; przekształć efekty statusu przeciwników|\n|<.>| |[weakness]| w |[enervation]|\n|<.>| |[curse]| w |[black-curse]
bloodedges-blood-slash-passive-description,Za każdym razem; gdy masz zamiar zaatakować; przekształć 10%|\n|swojego |[health]| w |[physical-attack]|\n|<696969>resetuje się co bitwę
cinder-touch-passive-description,[immolate]| przy trafieniu
combat-instinct-passive-description,Obrażenia od |[parry]| są podwojone
consuming-darkness-passive-description,Gdy wróg z |[fear]| i |[confusion]| zostanie zabity;|\n|zyskaj wszystkie jego statystyki bazowe |<696969>(reset w każdej walce)
crimson-pact-passive-description,Poniżej 45% |[health]|; zastosuj|\n|[confusion]| na wszystkich wrogów
critical-focus-passive-description,Twoje ataki |[critical-strike]| lub |[omni-crit]|\n|mają +25% |[accuracy]|
crystal-hardening-passive-description,Otrzymaj 0 punktów obrażeń podczas pierwszej tury
crystal-insight-passive-description,Zyskaj +100% |[magic-attack]| w pierwszej turze
cursed-chain-passive-description,Chybianie nie wpływa na wywoływanie efektów stanu|\n|powodowanych przy trafieniu atakiem
edens-wish-passive-description,Na początku każdej tury; przyznaj losowemu sojusznikowi|\n|losowe błogosławieństwo lub wzmocnienie
edge-of-death-passive-description,Podczas pierwszej tury |[health]| nie może spaść poniżej 1 punktu
edge-of-the-ruined-passive-description,Gdy masz |[curse]| lub |[black-curse]|:|\n|ataki zadadzą dodatkowe obrażenia równe|\n|11% |[health]| celów
eldrids-fury-passive-description,Każde uzdrowienie zapewnia jedną kumulację efektu |[vimblow]|\n|<696969>raz na turę
empty-bastion-passive-description,Mnoży |[armor]| przez 8; ale zaczynasz|\n|każdą walkę z 0 |[active-armor]|
emulator-passive-description,Ponownie nakłada osłabienia na końcu tury
escape-passive-description,Opuść walkę po próbie kradzieży
evil-mark-passive-description,Wywołuje efekt |[curse]| u celu|\n|na początku tury
exploited-opportunity-passive-description,Po |[dodge]|; |[stun]| atakującego
faded-discipline-passive-description,Otrzymaj +5 |[total-attacks]|; ale twoje pierwsze 5|\n|ataków zada 99% mniej obrażeń
faultbreaker-passive-description,Jeśli po ataku cel ma 75%|\n|[active-armor]| lub mniej; |[armor-break]
fear-of-pain-passive-description,Nie atakuje celów; które otrzymały obrażenia w tej turze
folly-of-kings-passive-description,Otrzymuj losowy efekt statusu co turę|\n|i |[polymorph]| co 2 tury
freedom-drive-passive-description,Otrzymaj +100% |[tenacity]|; gdy masz |[invulnerability]
golden-altruism-passive-description,Zapewnia wszystkim sojusznikom efekt |[golden-heart]
growing-anger-passive-description,Zyskuj 5% |[crit-chance]| z każdym trafieniem |<696969>(reset co walkę)
iron-pact-passive-description,Za każdym razem; gdy twoja |[active-armor]| osiągnie 0%; zużyj 10%|\n|twojego |[health]| i przekształć je w |[active-armor]
ironclad-passive-description,[block]
judgments-call-passive-description,Twoje ataki przywrócą negatywne efekty usunięte|\n|za pomocą efektu |[cleanse]| (resetuje się co bitwę)
liberation-passive-description,Przekształca statystykę |[armor]| w: |[adaptive-attack]
litany-of-malice-passive-description,Za każdy unikalny efekt statusu na celu; |\n|Zadaj +25% dodatkowego |[malice-damage]|
luminous-trial-passive-description,<.>| Nakłada 1 ładunek |[blindness]| przy wejściu do walki|<|\n||<.>| Przeciwnicy zyskują +25% |[accuracy]| za każde |[miss]|
magical-frostflare-passive-description,Otrzymaj |[ephemeral-armor]| równe |[magic-damage]|\n|zadanym wrogom z |[freeze]
mana-steal-passive-description,Przy trafieniu kradnie 1 punktu zasobu |[mana]|
manaflow-passive-description,Statystyka|[max-mana]| wynosi 1 pkt
mimicry-passive-description,Użyj umiejętności celu
plated-rot-passive-description,Obrażenia zadane pancerzowi |[armor]|; zostaną przekształcone w |[max-health]|
prime-guard-passive-description,Inni wrogowie będą otrzymywać 99% mniej obrażeń; dopóki|\n|właściciel pasywnej zdolności nie zostanie pokonany
shaded-essence-passive-description,Zwiększa |[magic-damage]| o 375% przeciwko wrogom pod wpływem efektu |[silence]
shattered-breath-passive-description,Za każdym razem; gdy |[parry]|; nałóż |[exhaustion]|\n|na cel
shatterwave-passive-description,Po trafieniu wroga zadajesz 25%|\n|obrażeń od ataku sąsiednim przeciwnikom
spell-block-passive-description,Na początku tury; zastosuj |[silence]|\n|na pierwszym wrogu z umiejętnością
strike-of-destiny-passive-description,Usuń wszystkie wzmocnienia z celu przy trafieniu|\n|jeśli masz |[invulnerability]
thunderstrike-passive-description,Zastosuj |[stun]| przy trafieniu jeśli cel ma |[electro-charge]
toxic-redemption-passive-description,Po zabiciu wroga; usuwa cały |[poison]| z ciebie i zadaje |[physical-damage]||\n|wszystkim wrogom równy ilości usuniętej trucizny
toxshield-passive-description,Za każdym razem; gdy podczas twojej tury zadane jest |[poison-damage]|;\n|otrzymujesz |[ephemeral-armor]| równe\n|tej wartości
undead-blessing-passive-description,Gdy sojusznik umiera; zyskujesz kumulację|\n|efektu |[purification]
undying-curse-passive-description,Zgon powoduje; nałożenie |[curse]|\n|na zabójcę
vengeful-edge-passive-description,Po aktywacji: |[counter-attack]| uruchamia się ponownie
warriors-resolute-passive-description,Otrzymaj |[clarity]| w pierwszych 3 turach
wind’s-grace-passive-description,Nadaje wszystkim sojusznikom |[swiftness]|
wrath-of-the-broken-flesh-passive-description,Za każdym razem; gdy twoje zdrowie zostanie uszkodzone; zyskaj stos |[fury]
ancient-ice-item-set-description,[1@ancient-ice]|[*1@ancient-ice]|<.>| Otrzymaj |[ephemeral-armor]| równe |[freeze-damage]|\n| zadanym wrogom z |[freeze]|\n|\n|<.>| Na koniec pierwszej tury; nałóż |[freeze]| na wszystkich|\n| wrogów
ancient-shell-item-set-description,Jeśli użyłeś postawy w tej turze:|\n|[1@ancient-shell]|[*1@ancient-shell]| |[toughness]| zredukuje wszystkie rodzaje obrażeń|\n|[3@ancient-shell]|[*3@ancient-shell]| Otrzymaj |[ephemeral-shell]| na koniec tury|\n|[5@ancient-shell]|[*5@ancient-shell]| Usuwa |[ephemeral-lock]| na koniec tury
arcanum-item-set-description,[1@arcanum]|[*1@arcanum]| Gdy |[magic-shield]| jest aktywna; zyskaj |<7569f5>+375%|[magic-damage]|\n|[2@arcanum]|[*2@arcanum]| Zyskaj |[magic-shield]| na koniec tury|\n|[4@arcanum]|[*4@arcanum]| Zyskaj |[magic-shield]| po zabiciu wroga
bastolic-item-set-description,[1@bastolic]|[*1@bastolic]| Gdy zadajesz |[magic-damage]|; zadaj dodatkowe|\n| |({magic_damage})|<7569f5> 5% swojego maks. zdrowia| losowemu wrogowi|\n|\n|[2@bastolic]|[*2@bastolic]| |[magic-damage]| otrzymane w pierwszej|\n| turze zostanie zamienione na |[max-health]|\n|<696969> resetuje się co bitwę
berserker-item-set-description,[1@berserker]|[*1@berserker]| Zdobądź dodatkowe |[total-attacks]| w oparciu o brakujące |[health]|:|\n| |<.>| 25% -> +1 |[total-attacks]|\n| |<.>| 50% -> +3 |[total-attacks]|\n| |<.>| 75% -> +6 |[total-attacks]|\n|\n|[2@berserker]|[*2@berserker]| Poniżej 25% |[health]|; zyskaj 100% |[tenacity]
blackthorn-item-set-description,Po trafieniu wskutek ataku:|\n|<.>| powoduje u napastnika efekt |[active-armor]*| jako |[magic-damage]|
cataclysm-item-set-description,Wszyscy wrogowie otrzymują maksymalnie 45% statystyki |[lethality]
celestial-item-set-description,W chwili otrzymania obrażeń przekształcasz je w statystykę |[elemental-power]|\n|<696969>resetuje się co bitwę
chromalure-item-set-description,[1@chromalure]|[*1@chromalure]| Po nałożeniu |[poison]|; zadaj |[poison-damage]|; który|\n| jest równy tej ilości celowi|\n|\n|[3@chromalure]|[*3@chromalure]| Na początku każdej tury; otrzymaj |[toxic-transmute]|[0@chromalure]
cursed-item-set-description,[1@cursed]|[*1@cursed]| Na początku bitwy; otrzymaj |[curse]|\n| i 5 stosów |[malice-shield]|\n|\n|[3@cursed]|[*3@cursed]| Zadawany przez ciebie |[malice-damage]| zostanie rozprzestrzeniony|\n| na wszystkich wrogów z |[curse]
darkness-item-set-description,[1@darkness]|[*1@darkness]| Nałóż |[fear]| na wszystkich wrogów z niższymi obrażeniami od ataku|\n|  niż ty na początku tury|[3@darkness]|\n|[*3@darkness]| Po zabiciu wroga; otrzymaj 2 ładunki |[dread]|[4@darkness]|\n|[*4@darkness]| Na początku pierwszej tury otrzymaj |[madness]|[0@darkness]
demonic-item-set-description,[1@demonic]|[*1@demonic]| Za każde 25 bazowego |[max-health]|\n| zyskaj 1% |[physical-attack]|\n|\n|[3@demonic]|[*3@demonic]| Otrzymaj |[multi-attack-charge]|\n| na początku pierwszej tury
flesh-item-set-description,Pozwala |[heal]| ponad twoje |[max-health]|\n|<696969>nadwyżka jest usuwana\n|<696969>na końcu tury
generic-item-set-description,Liczy się jako +1 do wszystkich aktywnych zestawów przedmiotów
golden-item-set-description,Na początku każdej bitwy zyskujesz efekt |[golden-heart]
hunter-item-set-description,[1@hunter]|[*1@hunter]| Każde 1% |[crit-chance]| powyżej 100% zostaje zamienione na|\n| 10% |[critical-damage]|\n|[3@hunter]|[*3@hunter]| Cele nie mogą |[dodge]| twoich ataków |[critical-strike]|
jade-item-set-description,Ponownie wywołaj u celu wszystkie kumulacje efektu |[sparkle]| po ich wysadzeniu
legacy-item-set-description,<.>| Na początku bitwy; otrzymaj |[invulnerability]|\n|\n|<.>| Na koniec pierwszej tury; nałóż ładunek|\n| |[arthurs-mark]| na losowego wroga|\n|\n|<.>| Gdy wróg z |[arthurs-mark]| zginie;|\n| zostanie on nałożony na innego wroga
magma-item-set-description,Zapewnia 1 kumulację efektu |[cinder-essence]| przed| |\n||początkiem tury
mercenary-item-set-description,Jeśli cel ma ponad 90% |[health]|:|\n|[1@mercenary]|[1@mercenary]| Zadaj 25%|<00cd58> +|[luck]| zwiększonych obrażeń od ataku|\n|[3@mercenary]|[*3@mercenary]| Zyskaj +1 |[total-attacks]| w tej turze
orion-item-set-description,[1@orion]|[*1@orion]| Zyskaj zwiększoną odporność na obrażenia; gdy twoje |[health]|\n| spada; do 75% odporności przy 25% |[health]|\n|\n|[3@orion]|[*3@orion]| Na koniec pierwszych 3 tur; napraw 25%|\n| swojej |[armor]|\n|\n|[4@orion]|[*4@orion]| Nie można |[heal]
phantom-item-set-description,Nie można dodać do ekwipunku
poverty-item-set-description,<.>| Gdy statystyka |[health]| wynosi poniżej 25%; dodaje 75% do statystyki |[crit-chance]|\n|<.>| I dodaje efekt |[anti-steal]
royal-item-set-description,Zapewnia efekt |[inherited-sin]| podczas pierwszej tury|\n|\n|Jeśli |[cleanse]| usunęło |[inherited-sin]|;|\n|otrzymujesz 5 kumulacji efektu |[debuff-immunity]
scout-item-set-description,[1@scout]|\n|<.>| |[*1@scout]|[dodge]| jest gwarantowane; jeśli masz jakąkolwiek ilość |[agility]|[3@scout]|\n|<.>| |[*3@scout]| Po 3 |[dodge]|; stań się |[elusive]|[0@scout]
shadow-item-set-description,[1@shadow]|[*1@shadow]| Za każdym razem gdy unikniesz ataku; |[backstab]|\n|[3@shadow]|[*3@shadow]| Uniknięte obrażenia podczas |[elusive]| są zyskane|\n| jako |[adaptive-attack]|<696969> - reset co walkę
silver-item-set-description,[1@silver]|[*1@silver]| |[cleanse]| jest gwarantowane; jeśli masz jakąkolwiek|\n| ilość |[faith]|\n|\n|[3@silver]|[3@silver]| Przy |[cleanse]| otrzymujesz |[faith]| |[grace]
swiftness-item-set-description,Podwaja twoje |[total-attacks]|; ale po każdym ataku|\n|tracisz 5% |[accuracy]|<696969> resetuje się co turę
thunder-item-set-description,[1@thunder]|[*1@thunder]|[electric-damage]| ma 25% + |[luck]*| szansy na |[stun]|\n| podczas twojej tury|\n|[3@thunder]|[*3@thunder]| Podwaja czas trwania |[stun]| nałożonego w twojej turze
unchained-item-set-description,[1@unchained]|[*1@unchained]| Osłabienia są nakładane na wszystkich wrogów|\n|[2@unchained]|[*2@unchained]| Podwaja osłabienia które nakładasz
vampiric-item-set-description,[1@vampiric]|[*1@vampiric]| Przy pierwszym ataku na nowy cel; nałóż 8% |[bleed]|\n|\n|[3@vampiric]|[*3@vampiric]| Za każdym razem; gdy wróg otrzyma |[bleed-damage]|; |[heal]|\n| o tę wartość|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]| zostanie przekształcone w |[power]|\n|<696969> resetuje się co bitwę
warrior-item-set-description,[1@warrior]|[*1@warrior]| Za każdym razem; gdy atakujesz; otrzymujesz |[combat-insight]|\n|[4@warrior]|[*4@warrior]| Gdy zostaniesz zaatakowany; otrzymujesz |[combat-insight]|[0@warrior]
wood-item-set-description,[1@wood]|[*1@wood]| +25% |[luck]|\n|[3@wood]|[*3@wood]| +10% |[luck]
zephyron-item-set-description,[1@zephyron]|<.>| |[*1@zephyron]| Zyskaj {amount}% |[magic-damage]| w każdej turze|<696969> resetuje się w każdej bitwie|\n|[2@zephyron]|<.>| |[*2@zephyron]| Zadane |[magic-damage]| zostanie zastosowane na wrogach z |[silence]|\n|[4@zephyron]|<.>| |[*4@zephyron]| Pierwsza aktywowana umiejętność nie zużyje |[mana]
beastbound-specialization-description,[1@hunter]|[*1@hunter]| Każde 1% |[crit-chance]| powyżej 100% zostaje zamienione na|\n| 10% |[critical-damage]|\n|[3@hunter]|[*3@hunter]| Cele nie mogą |[dodge]| twoich ataków |[critical-strike]|\n|\n|<.>| |[crit-chance]| wpływa na ataki |[parry]|
bloodcaster-specialization-description,[1@vampiric]|[*1@vampiric]| Przy pierwszym ataku na nowy cel; nałóż 8% |[bleed]|\n|\n|[3@vampiric]|[*3@vampiric]| Za każdym razem; gdy wróg otrzyma |[bleed-damage]|; |[heal]|\n| o tę wartość|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]| zostanie przekształcone w |[power]|\n|<696969> resetuje się co bitwę|\n|\n|Za każdym razem; gdy |[heal]|:|\n|<.>| Zadaj |[magic-damage]| równy ilości;|\n|  którą się uleczyłeś; wybranemu wrogowi
vampiercer-specialization-description,[1@vampiric]|[*1@vampiric]| Przy pierwszym ataku na nowy cel; nałóż 8% |[bleed]|\n|\n|[3@vampiric]|[*3@vampiric]| Za każdym razem; gdy wróg otrzyma |[bleed-damage]|; |[heal]|\n| o tę wartość|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]| zostanie przekształcone w |[power]|\n|<696969> resetuje się co bitwę|\n|\n|Za każdym razem; gdy |[heal]|:|\n|<.>| Zadaj bezpośrednie |[physical-damage]| równe ilości;|\n|  którą się uleczyłeś; wybranemu wrogowi; pomijając jego |[armor]
venomire-specialization-description,[1@vampiric]|[*1@vampiric]| Przy pierwszym ataku na nowy cel; nałóż 8% |[bleed]|\n|\n|[3@vampiric]|[*3@vampiric]| Za każdym razem; gdy wróg otrzyma |[bleed-damage]|; |[heal]|\n| o tę wartość|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]| zostanie przekształcone w |[power]|\n|<696969> resetuje się co bitwę|\n|\n|Za każdym razem; gdy |[heal]|:|\n|<.>| Nałóż |[poison]| kumulacje na wybranego wroga;|\n|  które są równe ilości; którą się uleczyłeś
bloodmoon-specialization-description,<.>| Przekształca 200% utraconego |[health]| w |[physical-attack]|\n|<696969> resetuje się co bitwę|\n|[1@shadow]|[*1@shadow]| Za każdym razem gdy unikniesz ataku; |[backstab]|\n|[3@shadow]|[*3@shadow]| Uniknięte obrażenia podczas |[elusive]| są zyskane|\n| jako |[adaptive-attack]|<696969> - resetuje się co bitwę
moonlighter-specialization-description,[1@shadow]|[*1@shadow]| Za każdym razem gdy unikniesz ataku; |[backstab]|\n|[3@shadow]|[*3@shadow]| Uniknięte obrażenia podczas |[elusive]| są zyskane|\n| jako |[adaptive-attack]|<696969> - reset co walkę
nighthrust-specialization-description,[1@shadow]|[*1@shadow]| Za każdym razem gdy unikniesz ataku; |[backstab]|\n|[3@shadow]|[*3@shadow]| Uniknięte obrażenia podczas |[elusive]| są zyskane|\n| jako |[adaptive-attack]|<696969> - resetuje się co bitwę|\n|<.>| Zyskaj obrażenia od ataku uniknięte dzięki |[dodge]|\n|<696969> resetuje się co bitwę
challenger-specialization-description,[1@demonic]|[*1@demonic]| Za każde 25 bazowego |[max-health]|\n| zyskaj 1% |[physical-attack]|\n|\n|[3@demonic]|[*3@demonic]| Otrzymaj |[multi-attack-charge]|\n| na początku pierwszej tury|\n|\n|<.>| 45% obrażeń zadanych wrogowi|\n| z |[arthurs-mark]| zostanie|\n| rozprzestrzenione na sąsiednich wrogów
chromaguard-specialization-description,[1@chromalure]|[*1@chromalure]| Po nałożeniu |[poison]|; zadaj |[poison-damage]|; który|\n| jest równy tej ilości celowi|\n|\n|[3@chromalure]|[*3@chromalure]| Na początku każdej tury; otrzymaj |[toxic-transmute]|[0@chromalure]
chromaspite-specialization-description,[1@chromalure]|[1@chromalure]| Po nałożeniu |[poison]|; zadaj |[poison-damage]|; który|\n| jest równy tej ilości celowi|\n|\n|[3@chromalure]|[3@chromalure]| Na początku każdej tury; otrzymaj |[toxic-transmute]|[0@chromalure]|\n|\n|<.>| Przekształć 75% swojego |[physical-attack]| w|\n| |[toxicity]
chromathorn-specialization-description,Po otrzymaniu ciosu:|\n|<.>| Zadaj atakującemu |[magic-damage]| równy |[active-armor]||\n|<.>| Za każdym razem; gdy zostaniesz trafiony; nałóż |[poison]| na|\n| atakującego; który jest równy twojej |[toxicity]
cinderthorn-specialization-description,Po otrzymaniu ciosu:|\n|<.>| Zadaj atakującemu |[magic-damage]| równy |[active-armor]*||\n|<.>| |[immolate]
mindthorn-specialization-description,Po otrzymaniu ciosu:|\n|<.>| Zadaj atakującemu |[magic-damage]| równy |[active-armor]*||\n|<.>| Otrzymujesz +25% |[wisdom]|<696969> (reset po każdej walce)
thornfrost-specialization-description,Po otrzymaniu ciosu:|\n|<.>| Zadaj atakującemu |[magic-damage]| równy |[active-armor]*||\n|<.>| Nałóż na atakującego 2 ładunki |[weakness]|
dauntless-specialization-description,[1@warrior]|[*1@warrior]| Za każdym razem; gdy atakujesz; otrzymujesz |[combat-insight]|\n|[4@warrior]|[*4@warrior]| Gdy zostaniesz zaatakowany; otrzymujesz |[combat-insight]|[0@warrior]
quickblade-specialization-description,[1@warrior]|[*1@warrior]| Za każdym razem; gdy atakujesz; otrzymujesz |[combat-insight]|\n|[4@warrior]|[*4@warrior]| Gdy zostaniesz zaatakowany; otrzymujesz |[combat-insight]|[0@warrior]|\n|\n|<.>| Za każdym razem; gdy |[parry]|; otrzymujesz +1 |[total-attacks]|\n|<696969> resetuje się co bitwę
rampager-specialization-description,[1@warrior]|[*1@warrior]| Za każdym razem; gdy atakujesz; otrzymujesz |[combat-insight]|\n|[4@warrior]|[*4@warrior]| Gdy zostaniesz zaatakowany; otrzymujesz |[combat-insight]|[0@warrior]
thunderborn-specialization-description,[1@warrior]|[*1@warrior]| Za każdym razem; gdy atakujesz; otrzymujesz |[combat-insight]|\n|[4@warrior]|[*4@warrior]| Gdy zostaniesz zaatakowany; otrzymujesz |[combat-insight]|[0@warrior]|\n|\n|<.>| Za każdym razem; gdy ogłuszysz wroga; zaatakuj go
debilitator-specialization-description,[1@darkness]|[*1@darkness]| Nałóż |[fear]| na wszystkich wrogów z niższymi obrażeniami od ataku|\n| niż ty na początku tury|[3@darkness]|\n|[*3@darkness]| Po zabiciu wroga; otrzymaj 2 ładunki |[dread]|[4@darkness]|\n|[*4@darkness]| Na początku pierwszej tury otrzymaj |[madness]|[0@darkness]
mindbreaker-specialization-description,<.>| Nałóż 2 ładunki |[madness]| na wrogów z |[confusion]|\n|[1@darkness]|[*1@darkness]| Nałóż |[fear]| na wszystkich wrogów z niższymi obrażeniami od ataku|\n| niż ty na początku tury|[3@darkness]|\n|[*3@darkness]| Po zabiciu wroga; otrzymaj 2 ładunki |[dread]|[4@darkness]|\n|[*4@darkness]| Na początku pierwszej tury otrzymaj |[madness]|[0@darkness]
deserter-specialization-description,Jeśli cel ma ponad 90% |[health]|:|\n|[1@mercenary]|[1@mercenary]| Zadaj 25%|<00cd58> +|[luck]| zwiększonych obrażeń od ataku|\n|[3@mercenary]|[*3@mercenary]| Zyskaj +1 |[total-attacks]| w tej turze|\n|\n|<.>| zyskaj +1 do |[total-attacks]| co 10 pięter
faithbound-specialization-description,Jeśli cel ma ponad 90% |[health]|:|\n|[1@mercenary]|[1@mercenary]| Zadaj 25%|<00cd58> +|[luck]| zwiększonych obrażeń od ataku|\n|[3@mercenary]|[*3@mercenary]| Zyskaj +1 |[total-attacks]| w tej turze|\n|\n|<.>| PASYWNE: |[judgments-call]
echomancer-specialization-description,[1@unchained]|[*1@unchained]| Osłabienia zostaną zastosowane na wszystkich wrogach|\n|[2@unchained]|[*2@unchained]| Podwój osłabienia; które nakładasz
evadium-specialization-description,[1@arcanum]|[*1@arcanum]| Gdy |[magic-shield]| jest aktywna; zyskaj |<7569f5>+375%|[magic-damage]|\n|[2@arcanum]|[*2@arcanum]| Zyskaj |[magic-shield]| na koniec tury|\n|[4@arcanum]|[*4@arcanum]| Zyskaj |[magic-shield]| po zabiciu wroga|\n|\n|<.> | Za każdym razem; gdy |[dodge]|; |[counter-attack]
invulnerium-specialization-description,[1@arcanum]|[*1@arcanum]| Gdy |[magic-shield]| jest aktywna; zyskaj |<7569f5>+375%|[magic-damage]|\n|[2@arcanum]|[*2@arcanum]| Zyskaj |[magic-shield]| na koniec tury|\n|[4@arcanum]|[*4@arcanum]| Zyskaj |[magic-shield]| po zabiciu wroga|\n|\n|<.>| Gdy twoja |[magic-shield]| pęknie po raz pierwszy; zyskaj |[invulnerability]
stunium-specialization-description,[1@arcanum]|[*1@arcanum]| Gdy |[magic-shield]| jest aktywna; zyskaj |<7569f5>+375%|[magic-damage]|\n|<.>| Gdy twoja |[magic-shield]| pęknie; |[stun]| wszystkich wrogów|\n|[2@arcanum]|[*2@arcanum]| Zyskaj |[magic-shield]| na koniec tury|\n|[4@arcanum]|[*4@arcanum]| Zyskaj |[magic-shield]| po zabiciu wroga
harbinger-specialization-description,<.>| Zadaj +1000% obrażeń od ataku wrogom z |[arthurs-mark]|\n|\n|<.>| Na początku bitwy; otrzymaj |[invulnerability]|\n|\n|<.>| Na koniec pierwszej tury; nałóż ładunek|\n| |[arthurs-mark]| na losowego wroga|\n|\n|<.>| Gdy wróg z |[arthurs-mark]| zginie;|\n| zostanie on nałożony na innego wroga
lionheart-specialization-description,<.>| Zmniejsz obrażenia o 1000% od wrogów z |[arthurs-mark]|\n|\n|<.>| Na początku bitwy; otrzymaj |[invulnerability]|\n|\n|<.>| Na koniec pierwszej tury; nałóż ładunek|\n| |[arthurs-mark]| na losowego wroga|\n|\n|<.>| Gdy wróg z |[arthurs-mark]| zginie;|\n| zostanie on nałożony na innego wroga
pursuer-specialization-description,[1@scout]|\n|<.>| |[*1@scout]|[dodge]| jest gwarantowane; jeśli masz jakąkolwiek ilość |[agility]|[3@scout]|\n|<.>| |[*3@scout]| Po 3 |[dodge]|; stań się |[elusive]|[0@scout]|\n|\n|Za każdym razem; gdy unikniesz ataku:|\n|<.>| Zyskaj {lethality-amount}% |[lethality]|<696969> - resetuje się co bitwę
striker-specialization-description,[1@scout]|\n|<.>| |[*1@scout]|[dodge]| jest gwarantowane; jeśli masz jakąkolwiek ilość |[agility]|[3@scout]|\n|<.>| |[*3@scout]| Po 3 |[dodge]|; stań się |[elusive]|[0@scout]|\n|\n|Za każdym razem; gdy unikniesz ataku:|\n|<.>| |[counter-attack]
windwalker-specialization-description,[1@scout]|\n|<.>| |[*1@scout]|[dodge]| jest gwarantowane; jeśli masz jakąkolwiek ilość |[agility]|[3@scout]|\n|<.>| |[*3@scout]| Po 3 |[dodge]|; stań się |[elusive]|[0@scout]|\n|\n|Za każdym razem; gdy unikniesz ataku:
honor-trial-description,<.>| Wszyscy wrogowie zdobywają 1 poziom
resilience-trial-description,<.>| Wszyscy wrogowie zyskają |[armor]
swarm-trial-description,<.>| Każda bitwa zawiera 6 wrogów
confrontation-trial-description,<.>| Wszyscy wrogowie zyskują +1 do |[total-attacks]
sagacity-trial-description,Dodaje licznik czasu do twoich działań; jeśli|\n|licznik osiągnie 0; zakończ podejście
?-label,