language-name-text,Русский
leaderboard-progress-text,Вы превзошли {player-percentage-amount} игроков; достигнув этажа {floor-record}
leaderboard-progress-connection-failed-text,Не удалось получить доступ к списку лидеров. Достигнутый этаж: {floor-record}
final-floor-reached-text,Достигнут последний этаж
ascension-level-text,Вознесение {level}
final-floor-text,Последний этаж
new-journey-text,Новое путешествие
select-save-slot-text,Выбрать
delete-save-slot-text,Удалить
update-text,Обновить
upload-text,Загрузить
death-message-title-text,Предсмертное послание игрока {player-name}
player-floor-record-text,Лучший этаж игрока {player-name}
view-steam-profile-text,посмотреть профиль Steam
no-achievements-text,Нет достижений
loading-file-text,Загрузка
saving-file-text,Сохранение
proceed-text,Продолжить
join-lobby-text,Присоединиться
enter-password-text,введите пароль
enter-ip-text,введите IP
specialization-floor-text,Активируется на этаже {floor-number}
convert-to-battle-stats-text,Превратить в боевые характеристики
stat-per-kill-text,{stat} за каждое убийство
item-found-text,Найдено: {item-name}
doubles-own-stat-text,Удваивает собственную |{stat}
victory-text,Победа
defeat-text,Поражение
ascend-text,Вознесение
negative-flow-text,Отрицательный |{flow}|; снимите комплекты предметов
cannot-be-dismantled-text,Нельзя разобрать
waiting-for-dismantle-text,Ожидание разборки
request-to-dismantle-text,Запрос на разборку
battles-remaining-text,Осталось боев
current-battle-text,Текущая битва
last-battle-text,Последняя битва
gold-per-battle-text,Золота за бой
gold-per-kill-text,Золота за убийство
enemy-player-immunity-text,Получает на {amount}% меньше урона||\n||во время хода игрока {player-name}
enemy-player-immunity-misc-text,Каждый ход снижается на {amount}%
player-sent-an-item-text,Игрок {player-name} отправляет вам: {item-name}
send-item-to-player-text,Отправить предмет
burnout-description-text,Выгорание: эффекты неактивны
infuse-description-text,Дает характеристики и эффекты предмета||\n||на этом этаже
infused-flow-info-text,влито; |{flow-stat}| не расходуется
infuse-text,Влить
to-open-battle-log-text,для открытия журнала боя
to-unlock-stats-text,для разблокировки характеристик
to-lock-stats-text,для блокировки характеристик
to-deselect-text,для отмены выбора
to-convert-text,для превращения
to-select-text,для выбора
to-toggle-text,для переключения
to-unlock-text,для разблокировки
to-learn-text,Чтобы изучить
to-lock-text,для блокировки
to-consume-text,для расхода
to-activate-text,для активации
to-restore-text,для восстановления
to-remove-text,для снятия
to-banish-text,Чтобы изгнать
to-equip-text,для использования
to-swap-text,для замены
to-take-text,для получения
to-buy-text,для покупки
silenced-text,Безмолвие
highest-text,Наивысш.
cost-text,Стоимость
diamond-reward-text,Получайте дополнительный {diamond} каждые {floor} этажей
gold-start-text,Начните с +{amount} {gold}
reforge-token-description-text,+{amount}% шанс; что |{stat}| будет применен||\n||к перекованному предмету
item-multiplier-text,Эта характеристика умножается на число использованных предметов комплекта |{item-set}
specialization-info-text,Преобразует |{item-set}| в |{specialization}|
required-item-sets-text,Требуется использовать предмет комплекта |{item-set}
required-stat-text,Требуется |{stat}
cant-move-during-battle-text,Нельзя двигаться во время боя
missing-item-socket-text,Нет гнезда: {socket-name}
item-set-no-flow-text,|{item-set}| стоит 0% |{flow}|
item-set-limit-reached-text,Достигнут лимит комплектов
cant-equip-duplicates-text,Нельзя использовать дубликаты
cannot-be-upgraded-text,Нельзя улучшить
unlearned-ability-text,Неизученная способность
learn-ability-text,Изучить {ability}
skip-stance-text,Пропустить: не атаковать в этот ход
guard-stance-text,Защита: в этот ход получаемый урон снижен на {amount}%
attack-on-activation-ability-text,атака при активации
reforged-item-stats-text,Характеристики перекованного предмета
favorite-item-sets-text,Избранные наборы предметов
market-item-sets-text,Наборы предметов с рынка
tinker-kit-item-name-text,Набор для умельца
battle-information-text,Сведения о бое
current-turn-text,Ход {turn-number}
local-player-name-text,Вы
dead-text,Смерть
battle-log-applied-status-effect-text,{character-2} — получен эффект состояния ({character-1})
battle-log-applied-status-on-self-text,{character} — наложен эффект состояния на себя
battle-log-received-damage-from-source-text,{character} — получен урон ({source})
battle-log-received-damage-text,{character} — получен урон
battle-log-hit-with-text,{character-2} — получена атака ({character-1}
battle-log-activated-effect-text,{character} — активирован эффект
battle-log-parry-text,{character-1} — парирование атаки ({character-2})
battle-log-block-text,{character-1} — использован блок атаки ({character-2})
battle-log-killed-text,{character-2} — смерть ({character-1})
battle-log-steal-text,{character} украл у {source}
battle-log-hit-text,{character-2} — получена атака ({character-1})
battle-log-cleanse-text,{character} — очищено
battle-log-dodged-text,{character} — избегание
battle-log-healed-text,{character} — лечение
overhealed-text,Сверхлечение
overheal-text,Сверхлечение
executed-text,Казнь
blocked-text,Блок
debuff-immune-text,Иммунитет к отрицательным эффектам
failed-steal-text,Неудачная кража
steal-text,Кража
escaped-text,Побег
cleanse-text,Очищение
inventory-full-text,Инвентарь заполнен
armor-break-text,Разрушение брони!
counter-attack-break-text,Контрудар!
missing-mana-text,Потраченная мана
cleansed-text,Очищено
heal-text,Лечение
attack-text,Атака
enter-text,Войти
skip-text,Пропустить
open-text,Открыть
sell-all-text,Продать все
close-text,Закрыть
demo-tower-completed-text,Демобашня пройдена
grants-stat-consumable-text,{stat}| +|{amount}| в этом бою
temp-stat-to-add-potion-description-text,#ERROR!
status-effect-potion-description-multiple-text,#ERROR!
status-effect-potion-description-single-text,{status-effect}| +1 заряд
potion-restores-text,Восстанавливает {amount} характеристики |{stat}
potion-regenerates-text,Восстанавливает {amount} характеристики |{stat}
potion-repairs-text,Восстанавливает {amount}% характеристики |{stat}
refills-every-battle-potion-text,Восполняется после каждого боя
stat-transform-text,Преобразует |{stat-1}| в |{stat-2}
banished-item-text,Изгнание: {item-name}
reforged-item-text,Перекованный {item-name}
item-reforge-text,Перековка {item-name}
banish-description-text,Навсегда убирает {item-name}|\n|из башни
unlock-requirements-description-text,Требуется завершенных боев для разблокировки:
unlimited-amount-text,Нет лимита
max-amount-text,Макс.: {amount}
corrupted-fragment-text,Искаженный фрагмент
specialization-text,Специализация
unknown-enemy-text,Неизвестный враг
unknown-item-text,Неизвестный предмет
passive-set-text,Пассивный комплект
empty-set-text,Пустой комплект
sell-for-text,Продать за
level-up-text,Новый уровень
chapter-text,Глава
abilities-text,Способности
ability-text,Способность
passives-text,Пассивн.
passive-text,Пассивн.
rewards-text,Награды
convert-text,Преобразовать
upgrade-text,Улучшить
command-list-text,команды
help-command-info-text,введите {command} чтобы получить помощь
kick-command-info-text,{command} [player index]|\n|выгоняет игрока из лобби|\n|пример: {command} 1 (выгоняет первого игрока после вас)
end-game-text-text,Ваша душа; закаленная в башне; доказала; что достойна.
highest-floor-result-screen-text,Наивысший этаж: {floor-number}
died-on-floor-text,Смерть на этаже {floor-number}
merchant-exclusive-text,Эксклюзивно у торговца
upgrades-into-text,Улучшает до:
highest-floor-text,Наивысший этаж
floor-number-text,Этаж {number}
not-refinable-text,Нельзя доработать
top-player-text,Лучший игрок
refinable-text,Можно доработать
deforge-text,Расковать
active-text,Активн.
floor-text,Этаж
split-text,Разделить
elite-text,Элитн.
gold-text,Золото
level-text,Ур
set-text,— комплект
xp-text,ОПТ
memories-button,воспоминания
name-label,Имя
lobbies-button,лобби
game-mode-label,Режим игры
locked-label,Заблокировано
players-label,Игроки
select-button,ВЫБРАТЬ
select-label,ВЫБРАТЬ
back-button,НАЗАД
button-label,КНОПКА
wishlist-on-steam!-label,добавляйте в список желаемого в Steam!
enter-the-tower-button,ВОЙТИ В БАШНЮ
library-button,БИБЛИОТЕКА
library-label,БИБЛИОТЕКА
workshop-button,МАСТЕРСКАЯ
quit-button,ВЫЙТИ
market-hover-name,Рынок
market-hover-description,<696969>новые предметы добавляются на каждом этаже
market-hover-bottom-hint,показать предметы
refresh-market-hover-name,ОБНОВИТЬ РЫНОК
refresh-market-hover-description,<696969>цена сбрасывается после каждого боя
sell-label,ПРОДАТЬ
split-label,РАЗДЕЛИТЬ
search-line-edit,поиск...
current-battle-label,ТЕКУЩАЯ БИТВА
turn-1-label,ХОД 1
normal-battle-label,ОБЫЧНЫЙ БОЙ
ping-hover-name,Пинг
ping-hover-description,
10-label,
open-button,ОТКРЫТЬ
loot-stash-hover-name,Тайник добычей
loot-stash-hover-description,<696969>избыточная добыча идет сюда
button-button,КНОПКА
market-items-label,Предметы на рынке
close-button,ЗАКРЫТЬ
waiting-for-all-players-to-connect-label,Ждем подключения всех игроков...
floor-record-x-label,Рекордный этаж: x
battle-log-button,ЖУРНАЛ БИТВЫ
battle-log-label,ЖУРНАЛ БИТВЫ
feedback-button,ОТЗЫВ
feedback-label,ОТЗЫВ
confirm-button,ПОДТВЕРДИТЬ
overview-button,обзор
speedruns-button,спидраны
submit-run-button,отправить данные о заходе
version-label,Версия:
selection-label,выбор
highest-floor-10-label,Наивысший этаж: 10
top-player-label,ЛУЧШИЙ ИГРОК
time-label,Время
enter-password-line-edit,введите пароль...
join-button,ПРИСОЕДИНИТЬСЯ
password-label,Пароль
connection-type-label,Тип соединения
challenge-drop-down-selection,Испытание
pvp-no-achievements-drop-down-selection,PvP [без достижений]
practice-no-achievements-drop-down-selection,Практика [без достижений]
public-label,ПУБЛ.
--credits--label,- Титры -
thanks-button,СПАСИБО
no-tutorial-label,Без обучения
no-tutorial-info-label-label,Эта игра считает; что обучение должно происходить через|\n|эксперименты и открытия; а не через инструкции.
proceed-button,ПРОДОЛЖИТЬ
items-button,предметы
bestiary-button,бестиарий
synergies-button,синергии
passives-button,пассивки
build-planner-label,План сборки
delete-label,УДАЛИТЬ
build-1-label,СБОРКА 1
blue-team-label,СИНЯЯ КОМАНДА
+-join-label,[+] ПРИСОЕДИНИТЬСЯ
player-name-label,Имя игрока
select-adventurer-label,ВЫБРАТЬ ПРИКЛЮЧЕНЦА
red-team-label,КРАСНАЯ КОМАНДА
trials-label,ИСПЫТАНИЯ
configure-button,НАСТРОИТЬ
0/4-label,0/4
begin-button,НАЧАТЬ
begin-label,НАЧАТЬ
restart-button,НАЧАТЬ ЗАНОВО
restart-label,НАЧАТЬ ЗАНОВО
resume-button,ПРОДОЛЖИТЬ
resume-label,ПРОДОЛЖИТЬ
options-button,ОПЦИИ
save-&-exit-button,СОХРАНИТЬ И ВЫЙТИ
text-label,Текст
controls-button,управление
video-button,видео
audio-button,звук
misc-button,разное
primary-action-button,основное действие
key-label,клавиша
?-label,
listening-for-input-label,Ожидание ввода...
ability-button,способность
skip-button,пропустить
refresh-market-button,обновить рынок
brightness-label,Яркость
contrast-label,Контраст
window-mode-label,Режим окна:
resolution-label,Разрешение:
v-sync-label,
music-label,Музыка
sfx-label,Спецэффекты
tooltip-lock-time-label,Время загрузки подсказок
language-label,Язык:
chromatic-aberration-label,Хроматическая аберрация
display-run-time-label,Показать время захода
screen-shake-label,Дрожание экрана
scan-lines-label,Строки развертки
reset-to-defaults-button,СБРОС ДО НАСТРОЕК ПО УМОЛЧАНИЮ
->-label,
end-button,ЗАКОНЧИТЬ
enter-endless-button,ВОЙТИ В БЕСКОНЕЧНЫЙ РЕЖИМ
refresh-merchant-hover-name,ОБНОВИТЬ ТОРГОВЦА
refresh-merchant-hover-description,<696969>предлагает новые предметы
upgrade-label,УЛУЧШИТЬ
-button,
stance-hover-name,Стойка
activate-endless-button,АКТИВИРОВАТЬ БЕСКОНЕЧНЫЙ РЕЖИМ
refresh-mystic-trader-hover-name,ОБНОВИТЬ МИСТИЧЕСКОГО ТОРГОВЦА
refresh-mystic-trader-hover-description,<696969>создаёт новые предметы
0/3-label,
request-to-dismantle-button,ЗАПРОС НА РАЗБОРКУ
dismantle-button,РАЗОБРАТЬ
windowed-window-mode-name,В окне
borderless-window-mode-name,Без рамки
fullscreen-window-mode-name,Весь экран
challenge-game-mode-name,Испытание
pvp-game-mode-name,PvP
practice-game-mode-name,Практика
-popup,
counter-attack!-popup,Контрудар!
lucky-attack-popup,Удачная атака
armor-break!-popup,Разрушение брони!
backstabbed-popup,Удар в спину
dodged-popup,Избегание
parried-popup,Парирование
blocked-popup,Блок
missed-popup,Пропущено
helmet-socket-name,Шлем
chestplate-socket-name,Нагрудник
leggings-socket-name,Поножи
boots-socket-name,Ботинки
necklace-socket-name,Ожерелье
weapon-socket-name,Оружие
ring-socket-name,Кольцо
zefrot-item-name,Зефрот
totem-of-greed-item-name,Тотем жадности
steak-item-name,Стейк
ribbon-of-fortune-item-name,Лента удачи
poor-mans-path-item-name,Путь бедного
pallac-item-name,Паллак
merchant-upgrade-item-name,Улучшение торговца
frokt-item-name,Фрокт
poor-mans-blade-item-name,Клинок бедняка
wooden-shoes-item-name,Деревянные ботинки
natures-gift-item-name,Дар природы
magical-stick-item-name,Волшебная ветка
training-hammer-item-name,Тренировочный молот
natures-collar-item-name,Ожерелье природы
poor-mans-helmet-item-name,Шлем бедняка
training-axe-item-name,Тренировочный топор
wooden-plates-item-name,Деревянный нагрудник
leather-boots-item-name,Кожаные ботинки
leather-helmet-item-name,Кожаный шлем
leather-pants-item-name,Кожаные штаны
leather-chestplate-item-name,Кожаный нагрудник
training-sword-item-name,Тренировочный меч
insightus-item-name,Инсайтус
amulet-of-life-item-name,Амулет жизни
starborn-ring-item-name,Кольцо новой звезды
recruits-boots-item-name,Ботинки новобранца
keepsake-item-name,Талисман
recruits-hood-item-name,Капюшон новобранца
iron-dagger-item-name,Железный кинжал
hunters-boots-item-name,Ботинки охотника
hunters-hood-item-name,Капюшон охотника
recruits-pants-item-name,Штаны новобранца
chainmail-item-name,Кольчуга
hunters-necklace-item-name,Ожерелье охотника
hunters-pants-item-name,Штаны охотника
recruits-cloak-item-name,Плащ новобранца
hunters-ring-item-name,Кольцо охотника
hunters-jerkin-item-name,Куртка охотника
crystal-staff-item-name,Хрустальный посох
vitality-ring-item-name,Кольцо выносливости
ring-of-anger-item-name,Кольцо гнева
zephyrons-tome-item-name,Фолиант Зефирона
silver-ring-item-name,Серебряное кольцо
marauders-helmet-item-name,Шлем мародера
silver-sabatons-item-name,Серебряные сабатоны
silver-helmet-item-name,Серебряный шлем
life-seeker-item-name,Искатель жизни
silver-leggings-item-name,Серебряные поножи
zephyrons-magical-shoes-item-name,Волшебные ботинки Зефирона
silver-chestplate-item-name,Серебряный нагрудник
zephyrons-eye-item-name,Око Зефирона
bastolics-guardian-item-name,Страж Бастолика
silver-sword-item-name,Серебряный меч
zephyrons-magical-ring-item-name,Волшебное кольцо Зефирона
bastolics-gauntlet-item-name,Рукавица Бастолика
zephyrons-magical-cloak-item-name,Волшебный плащ Зефирона
zephyrons-magical-cap-item-name,Волшебная шляпа Зефирона
zephyrons-magical-staff-item-name,Магический посох Зефирона
believers-locket-item-name,Медальон ревнителя
silver-axe-item-name,Серебряный топор
tome-of-arcanum-item-name,Фолиант Арканума
arcanum-hood-item-name,Капюшон Тайны
golden-dagger-item-name,Золотой кинжал
golden-sabatons-item-name,Золотые сабатоны
golden-helmet-item-name,Золотой шлем
arcanum-shoes-item-name,Ботинки Арканума
golden-leggings-item-name,Золотые поножи
arcanum-robe-item-name,Мантия Арканума
golden-chestplate-item-name,Золотой нагрудник
precious-ring-item-name,Драгоценное кольцо
magic-wand-item-name,Волшебная палочка
golden-crown-item-name,Золотая корона
golden-warden-item-name,Золотой страж
greeds-grasp-item-name,Алчная хватка
golden-sword-item-name,Золотой меч
omni-ring-item-name,Всекольцо
darkwood-plates-item-name,Броня из темного дерева
tome-of-attacks-item-name,Фолиант Атак
warriors-sabatons-item-name,Сабатоны воина
hunger-blade-item-name,Клинок голода
warriors-helmet-item-name,Шлем воина
famished-blade-item-name,Клинок истощения
unchained-gauntlet-item-name,Перчатки освобождения
blackthorn-sabatons-item-name,Терновые сабатоны
warriors-leggings-item-name,Поножи воина
blackthorn-leggings-item-name,Терновые поножи
warriors-chestplate-item-name,Нагрудник воина
warriors-war-hammer-item-name,Боевой молот воина
blackthorn-chestplate-item-name,Терновый нагрудник
unchained-ring-item-name,Кольцо освобождения
hy-sword-item-name,Гипермеч
pantaloons-of-greatness-item-name,Кальсоны величия
warriors-ring-item-name,Кольцо воина
blackthorn-crown-item-name,Терновая корона
orions-core-item-name,Ядро Ориона
orions-path-item-name,Путь Ориона
orions-destiny-item-name,Судьба Ориона
orions-leggings-item-name,Поножи Ориона
orions-sanguine-salvation-item-name,Багровое спасение Ориона
orions-heart-item-name,Сердце Ориона
orions-rage-item-name,Ярость Ориона
living-boots-item-name,Живые ботинки
living-helmet-item-name,Живой шлем
living-leggings-item-name,Живые поножи
living-chestplate-item-name,Живой нагрудник
berserkers-axe-item-name,Топор берсерка
berserkers-helmet-item-name,Шлем берсерка
eldrids-ring-item-name,Кольцо Элдрида
ring-of-power-item-name,Кольцо силы
silver-heart-item-name,Серебряное сердце
thunderiders-item-name,Громовсадники
thunderhelm-item-name,Громошлем
royal-sabatons-item-name,Королевские сабатоны
royal-helmet-item-name,Королевский шлем
royal-leggings-item-name,Королевские поножи
thunderstriders-item-name,Громостранники
royal-chestplate-item-name,Королевский нагрудник
thundergrace-item-name,Громомилость
thunderblade-item-name,Громоклинок
thundervow-item-name,Громоклятва
iron-eater-item-name,Пожиратель железа
tome-of-darkness-item-name,Фолиант тьмы
witherscar-item-name,Губительный шрам
dark-magical-ring-item-name,Кольцо темной магии
nighthorn-item-name,Шип ночи
ashcrow-item-name,Пепрок
dark-harness-item-name,Темная портупея
alchemists-wisdom-item-name,Мудрость алхимика
shadow-wisdom-item-name,Мудрость тени
shadow-ring-item-name,Кольцо тени
shadow-piercer-item-name,Пронзатель тени
demonic-sabatons-item-name,Демонические сабатоны
shadow-cloak-item-name,Плащ тени
shadow-echo-item-name,Эхо тени
demonic-helmet-item-name,Демонический шлем
demonic-axe-item-name,Демонический топор
shadow-sentence-item-name,Приговор тени
shadow-vortex-item-name,Вихрь тени
demonic-leggings-item-name,Демонические поножи
demonic-claymore-item-name,Демонический палаш
demonic-chestplate-item-name,Демонический нагрудник
demonic-ring-item-name,Демоническое кольцо
shard-of-power-item-name,Осколок силы
emperors-will-item-name,Воля императора
wooden-crown-item-name,Деревянная корона
witchcraft-leggings-item-name,Поножи колдовства
cursed-ring-item-name,Проклятое кольцо
cursed-necklace-item-name,Проклятое ожерелье
mask-of-the-cursed-item-name,Маска проклятых
blade-of-the-ruined-item-name,Погиблый клинок
lightning-boots-item-name,Молниеносные ботинки
shamans-robe-item-name,Мантия шамана
turtle-sabatons-item-name,Черепаховые сабатоны
turtle-leggings-item-name,Черепаховые поножи
cowards-ring-item-name,Кольцо труса
soul-collector-item-name,Собиратель душ
heart-of-gold-item-name,Добросердие
turtle-chestplate-item-name,Черепаховый нагрудник
elemental-necklace-item-name,Стихийное ожерелье
giants-ring-item-name,Кольцо великана
black-oath-item-name,Черная клятва
turtle-gauntlet-item-name,Черепаховые перчатки
gloom-item-name,Мрак
qolk-item-name,Кволк
blake-item-name,Прошивные ботинки
vampiric-helmet-item-name,Вампирский шлем
vampiric-chestplate-item-name,Вампирский нагрудник
glimmer-item-name,Мерцание
vurk-item-name,Вурк
bloodedge-item-name,Кровавое лезвие
ethercrests-tome-item-name,Фолиант Этеркреста
ethercrests-sabatons-item-name,Сабатоны Этеркреста
ethercrests-blade-item-name,Клинок Этеркреста
ethercrests-helmet-item-name,Шлем Этеркреста
ethercrests-staff-item-name,Посох Этеркреста
ethercrests-sword-item-name,Меч Этеркреста
ethercrests-leggings-item-name,Поножи Этеркреста
ethercrests-chestplate-item-name,Нагрудник Этеркреста
ethercrests-ring-item-name,Кольцо Этеркреста
mask-of-cataclysm-item-name,Маска бедствия
ring-of-interest-item-name,Кольцо интереса
rod-of-doom-item-name,Жезл рока
shadow-whisper-item-name,Шепот тени
magma-sabatons-item-name,Лавовые сабатоны
magma-helmet-item-name,Лавовый шлем
magma-leggings-item-name,Лавовые поножи
magma-chestplate-item-name,Лавовый нагрудник
magma-necklace-item-name,Лавовое ожерелье
magma-poleaxe-item-name,Лавовая секира
ring-of-ice-item-name,Кольцо льда
jesters-bone-mask-item-name,Костяная маска шута
celestial-sabatons-item-name,Небесные сабатоны
celestial-helmet-item-name,Небесный шлем
celestial-leggings-item-name,Небесные поножи
celestial-chestplate-item-name,Небесный нагрудник
throngler-item-name,Губитель
dawnbringer-item-name,Меч Рассвета
ring-of-unity-item-name,Кольцо единства
excalibur-item-name,Экскалибур
ribbon-of-fortune-item-description,<696969>+25% шанс получить дополнительный предмет при|\n|<696969>открытии сундука
merchant-upgrade-item-description,Открывает |[tinker]|
bloodedge-item-description,<696969>становился сильнее с каждым убийством
excalibur-item-description,<696969>дар озера
bat-enemy-name,Летучая мышь
leafing-enemy-name,Листовик
fronk-enemy-name,Кванк
boar-enemy-name,Кабан
snow-pix-enemy-name,Снегоискр
pebbling-enemy-name,Каменек
slime-enemy-name,Слизь
rat-enemy-name,Крыса
goblin-enemy-name,Гоблин
skeleton-warrior-enemy-name,Скелет-воин
shadow-wizard-enemy-name,Волшебник тени
jellyrak-enemy-name,Медузла
efis-enemy-name,Эфис
rogue-enemy-name,Разбойник
slorn-enemy-name,Слорн
armored-goblin-enemy-name,Стойкий гоблин
stone-golem-enemy-name,Каменный голем
witch-enemy-name,Ведьма
wizard-skeleton-enemy-name,Скелет волшебника
giant-spider-enemy-name,Гигантский паук
blood-ghoul-enemy-name,Кровавый упырь
armored-spirit-enemy-name,Стойкий дух
red-orc-enemy-name,Алый орк
snow-wraith-enemy-name,Снежный призрак
venomous-spider-enemy-name,Ядовитый паук
harpy-enemy-name,Гарпия
bravura-enemy-name,Бравура
fire-dragon-enemy-name,Огненный дракон
void-squid-enemy-name,Спрут пустоты
brother-enemy-name,Брат
shadow-ghost-enemy-name,Призрак тени
kotya-enemy-name,Котия
magma-golem-enemy-name,Лавовый голем
overseer-enemy-name,Надсмотрщик
braskap-enemy-name,Браскап
cloud-dragon-enemy-name,Облачный дракон
ruined-king-enemy-name,Погибший король
blinded-priest-enemy-name,Слепой жрец
morizon-enemy-name,Моризон
moon-enemy-name,Луна
cursed-abomination-enemy-name,Проклятое порождение
mars-enemy-name,Марс
pinto-enemy-name,Пинто
neptune-enemy-name,Нептун
thunder-dragon-enemy-name,Громовой дракон
eldrids-flesh-enemy-name,Плоть Элдрида
golden-guardian-enemy-name,Золотой страж
venus-enemy-name,Венера
jupiter-enemy-name,Юпитер
saturn-enemy-name,Сатурн
uranus-enemy-name,Уран
sun-enemy-name,Солнце
iron-golem-enemy-name,Железный голем
windwatcher-enemy-name,Ветрострaж
graven-enemy-name,Грейвен
death-enemy-name,Смерть
perfect-slave-enemy-name,Идеальный раб
common-chest-enemy-name,Обычный сундук
golden-chest-enemy-name,Золотой сундук
heart-of-the-tower-enemy-name,Сердце Башни
merchant-enemy-name,Торговец
mystic-bison-enemy-name,Мистический Бизон
mystic-trader-enemy-name,Мистический Торговец
training-dummy-enemy-name,Тренировочный манекен
ancient-ice-item-set-name,Древний лед
ancient-shell-item-set-name,Древний панцирь
arcanum-item-set-name,Арканум
bastolic-item-set-name,Бастолик
berserker-item-set-name,Берсерк
blackthorn-item-set-name,Терновник
cataclysm-item-set-name,Бедствие
celestial-item-set-name,Небосвод
chromalure-item-set-name,Хромохворь
consumable-item-set-name,Расходуемое
cursed-item-set-name,Проклятие
darkness-item-set-name,Тьма
demonic-item-set-name,Демон
essential-item-set-name,Первооснова
flesh-item-set-name,Плоть
generic-item-set-name,Простота
golden-item-set-name,Золото
hunter-item-set-name,Охотник
jade-item-set-name,Нефрит
legacy-item-set-name,Наследие
magma-item-set-name,Лава
mercenary-item-set-name,Наемник
orion-item-set-name,Орион
phantom-item-set-name,Призрак
poverty-item-set-name,Бедность
reforge-item-set-name,Перековка
royal-item-set-name,Монарх
scout-item-set-name,Разведчик
shadow-item-set-name,Тень
silver-item-set-name,Серебро
swiftness-item-set-name,Быстрота
thunder-item-set-name,Гром
tome-item-set-name,Фолиант
unchained-item-set-name,Освобождение
vampiric-item-set-name,Вампиризм
warrior-item-set-name,Воин
wood-item-set-name,Дерево
zephyron-item-set-name,Зефирон
beastbound-specialization-name,Зверосвяз
bloodcaster-specialization-name,Заклинатель крови
vampiercer-specialization-name,Вампронзатель
venomire-specialization-name,Ядомпир
bloodmoon-specialization-name,Кровавая Луна
moonlighter-specialization-name,Лунный Скиталец
nighthrust-specialization-name,Ночной Натиск
challenger-specialization-name,Дуэлянт
chromaguard-specialization-name,Хромостраж
chromaspite-specialization-name,Хромозлость
chromathorn-specialization-name,Хромошип
cinderthorn-specialization-name,Пеплошип
mindthorn-specialization-name,Умошип
thornfrost-specialization-name,Хладошип
dauntless-specialization-name,Удалец
quickblade-specialization-name,Быстрый клинок
rampager-specialization-name,Ратник
thunderborn-specialization-name,Громорождённый
