language-name-text,Русский
debilitator-specialization-name,Изнуритель
mindbreaker-specialization-name,Умопомрачитель
deserter-specialization-name,Перебежчик
faithbound-specialization-name,Догматик
echomancer-specialization-name,Эхомант
evadium-specialization-name,Избегатиум
invulnerium-specialization-name,Неуязвимиум
stunium-specialization-name,Оглушитиум
harbinger-specialization-name,Вестник
lionheart-specialization-name,Львиное сердце
pursuer-specialization-name,Преследователь
striker-specialization-name,Боец
windwalker-specialization-name,Ветроход
accuracy-stat-name,Точность
active-armor-stat-name,Активная броня
adaptive-attack-stat-name,Адаптивная атака
agility-stat-name,Ловкость
armor-stat-name,Броня
armor-damage-stat-name,Урон броней
armor-shields-stat-name,Броневые Щиты
armor-steal-stat-name,Кража брони
armored-attack-stat-name,Атака броней
blackrot-damage-stat-name,Урон черногнилью
bleed-damage-stat-name,Урон от Кровотечения
cinder-damage-stat-name,Урон испепелением
combat-stat-name,Борьба
crit-chance-stat-name,Шанс крита
critical-damage-stat-name,Критический урон
dazzle-stat-name,Ослепление
dazzle-damage-stat-name,Урон ослеплением
diamond-stat-name,Алмаз
eldership-stat-name,Старшинство
electric-damage-stat-name,Урон электричеством
electricity-stat-name,Электричество
elemental-power-stat-name,Сила стихий
elemental-resistance-stat-name,Стихийное сопротивление
energy-stat-name,Энергия
faith-stat-name,Вера
flow-stat-name,Поток
freeze-attack-stat-name,Атака морозом
freeze-damage-stat-name,Урон морозом
gold-stat-name,Золото
gold-on-kill-stat-name,Золото при убийстве
greed-stat-name,Алчность
health-stat-name,Здоровье
lethality-stat-name,Смертельность
life-steal-stat-name,Вампиризм
luck-stat-name,Удача
magic-attack-stat-name,Магическая атака
magic-damage-stat-name,Магический урон
malice-stat-name,Коварство
malice-damage-stat-name,Урон коварством
mana-stat-name,Мана
max-health-stat-name,Макс. здоровье
max-mana-stat-name,Макс. мана
omni-crit-chance-stat-name,Шанс всекрита
omni-vamp-stat-name,Всевампиризм
penetration-stat-name,Пронзание
physical-attack-stat-name,Физическая атака
physical-damage-stat-name,Физический урон
poison-damage-stat-name,Урон ядом
power-stat-name,Сила
random-stat-stat-name,Случайная характеристика
recovery-stat-name,Исцеление
spelldom-stat-name,Маговласть
tenacity-stat-name,Стойкость
total-attacks-stat-name,Число атак
toughness-stat-name,Выносливость
toxicity-stat-name,Ядовитость
true-damage-stat-name,Чистый урон
wisdom-stat-name,Мудрость
enervation-status-effect-name,Истощение
enervated-status-effect-application-message,Истощение
weakness-status-effect-name,Слабость
weakened-status-effect-application-message,Ослабление
black-curse-status-effect-name,Черное проклятие
cursed-status-effect-application-message,Проклятие
curse-status-effect-name,Проклятие
stun-status-effect-name,Оглушение
stunned-status-effect-application-message,Оглушение
slowness-status-effect-name,Замедление
slowed-status-effect-application-message,Замедление
confusion-status-effect-name,Ошеломление
confused-status-effect-application-message,Ошеломление
silence-status-effect-name,Безмолвие
silenced-status-effect-application-message,Безмолвие
toxic-transmute-status-effect-name,Токсическое превращение
poison-status-effect-name,Яд
poisoned-status-effect-application-message,Отравление
bleed-status-effect-name,Кровотечение
sparkle-status-effect-name,Искра
sparkle-status-effect-application-message,Искра
magic-shield-status-effect-name,Волшебный щит
ephemeral-armor-status-effect-name,Эфемерная броня
ephemeral-shell-status-effect-name,Эфемерный панцирь
electro-charge-status-effect-name,Электрозаряд
ephemeral-lock-status-effect-name,Эфемерный замок
exhaustion-status-effect-name,Истощение
malice-shield-status-effect-name,Щит коварства
armor-shield-status-effect-name,Щит брони
freeze-status-effect-name,Мороз
frozen-status-effect-application-message,Заморозка
fear-status-effect-name,Страх
invulnerability-status-effect-name,Неуязвимость
inherited-sin-status-effect-name,Первородный грех
arthurs-mark-status-effect-name,Метка Артура
timeout-status-effect-name,Передышка
cinder-essence-status-effect-name,Испепеляющая сущность
combat-insight-status-effect-name,Боевая проницательность
magic-blitz-status-effect-name,Волшебный налет
magic-blitz-status-effect-application-message,Волшебный налет
omni-blitz-status-effect-name,Всеналет
omni-blitz-status-effect-application-message,Всеналет
vimblow-status-effect-name,Напористый удар
dread-status-effect-name,Ужас
fury-status-effect-name,Неистовство
fury-status-effect-application-message,Неистовство
counter-attack-charge-status-effect-name,Заряд контратаки
multi-attack-charge-status-effect-name,Заряд массовой атаки
stun-attack-charge-status-effect-name,Заряд оглушающей атаки
debuff-immunity-status-effect-name,Иммунитет к отрицательным эффектам
golden-heart-status-effect-name,Золотое сердце
golden-lock-status-effect-name,Золотой замок
lethality-status-effect-name,Смертоносность
madness-status-effect-name,Безумие
focused-status-effect-name,Концентрация
blindness-status-effect-name,Слепота
clarity-status-effect-name,Ясность
elusive-status-effect-name,Неуловимый
purification-status-effect-name,Освящение
grace-status-effect-name,Благодать
curse-of-the-tower-status-effect-name,Проклятие башни
blue-team-status-effect-name,Синяя команда
red-team-status-effect-name,Красная команда
unavoidable-keyword-name,Неотвратимость
anti-steal-keyword-name,Антикража
attack-damage-keyword-name,Урон от атаки
execute-keyword-name,Казнь
ascend-keyword-name,Вознесение
tinker-keyword-name,Кузнец-умелец
heal-keyword-name,Лечение
tier-i-reward-keyword-name,Награда I уровня
critical-strike-battle-action-name,Критический удар
counter-attack-battle-action-name,Контрудар
multi-attack-battle-action-name,Массовая атака
lucky-attack-battle-action-name,Удачная атака
armor-break-battle-action-name,Разрушение брони
omni-crit-battle-action-name,Всекрит
polymorph-battle-action-name,Превращение
immolate-battle-action-name,Сожжение
backstab-battle-action-name,Удар в спину
cleanse-battle-action-name,Очищение
dodge-battle-action-name,Избегание
parry-battle-action-name,Парирование
block-battle-action-name,Блок
guard-battle-action-name,Защита
miss-battle-action-name,Промах
hit-battle-action-name,Попадание
arcane-roulette-ability-name,Магическая рулетка
astral-dissolution-ability-name,Астральное освобождение
barrier-ability-name,Барьер
bloodlust-aura-ability-name,Аура кровожадности
burden-of-power-ability-name,Бремя власти
confusion-strike-ability-name,Ошеломляющий удар
death-strike-ability-name,Смертельный удар
drain-react-ability-name,Дрейн Реакт
drop-of-chaos-ability-name,Капля хаоса
enchanted-attack-ability-name,Зачарованная атака
fear-of-faith-ability-name,Страх веры
frozen-strike-ability-name,Морозный удар
frozen-wind-ability-name,Морозный ветер
galefire-ability-name,Огненный шторм
harness-ability-name,Обуздание
headbutt-ability-name,Удар головой
heart-of-iron-ability-name,Железное Сердце
iron-will-ability-name,Железная Воля
mana-regen-ability-name,Восстановление маны
mind-control-ability-name,Контроль разума
multi-cleanse-ability-name,Массовое очищение
multi-heal-ability-name,Массовое лечение
multi-magic-shield-ability-name,Массовый волшебный щит
multi-shield-ability-name,Массовый щит
multi-stun-ability-name,Множественное Оглушение
my-justice-ability-name,Моя Справедливость
my-way-ability-name,Мой Путь
normal-attack-ability-name,Обычная Атака
noxious-empowerment-ability-name,Тлетворное усиление
persistent-payback-ability-name,Постоянная расплата
prowlers-strike-ability-name,Удар Скитальца
purify-ability-name,Избавление
replay-ability-name,Повтор
repulse-ability-name,Отпор
safeguard-ability-name,Предосторожность
shatter-strike-ability-name,Сокрушительный удар
silhouette-ability-name,Силуэт
spell-bind-ability-name,Связующие чары
steady-grip-ability-name,Крепкая Хватка
steal-ability-name,Кража
stun-attack-ability-name,Оглушающая атака
stun-strike-ability-name,Оглушающий удар
toxic-attack-ability-name,Ядовитая атака
triple-attack-ability-name,Тройная атака
venom-spit-ability-name,Ядовитый плевок
absolution-passive-name,Превосходство
all-is-mine-passive-name,Все мое
arcane-control-passive-name,Магический Контроль
arcane-equilibrium-passive-name,Магическое равновесие
battleborn-passive-name,Боерожденный
battleforged-heart-passive-name,Закаленное в бою сердце
beyond-the-grave-passive-name,По ту сторону могилы
bloodedges-blood-slash-passive-name,Кровавый разрез Кровавого лезвия
cinder-touch-passive-name,Испепеляющее касание
combat-instinct-passive-name,Боевой инстинкт
consuming-darkness-passive-name,Поглощение тьмы
crimson-pact-passive-name,Алый пакт
critical-focus-passive-name,Критический фокус
crystal-hardening-passive-name,Кристаллизация
crystal-insight-passive-name,Кристальное прозрение
cursed-chain-passive-name,Проклятая цепь
edens-wish-passive-name,Мечта о рае
edge-of-death-passive-name,Острие смерти
edge-of-the-ruined-passive-name,Острие погибели
eldrids-fury-passive-name,Неистовство Элдрида
empty-bastion-passive-name,Пустой бастион
emulator-passive-name,Эмулятор
escape-passive-name,Побег
evil-mark-passive-name,Зловещая метка
exploited-opportunity-passive-name,Использованный шанс
faded-discipline-passive-name,Угасшая дисциплина
faultbreaker-passive-name,Разрушительный изъян
fear-of-pain-passive-name,Страх Боли
folly-of-kings-passive-name,Безумие королей
freedom-drive-passive-name,Стремление к свободе
frozen-heart-passive-name,Ледяное сердце
golden-altruism-passive-name,Золотое бескорыстие
growing-anger-passive-name,Растущий гнев
iron-pact-passive-name,Железный пакт
ironclad-passive-name,Железное тело
judgments-call-passive-name,Зов кары
liberation-passive-name,Свобода
litany-of-malice-passive-name,Литания коварства
luminous-trial-passive-name,Светлое Испытание
magic-flux-passive-name,Магический Поток
magical-frostflare-passive-name,Вспышка морозной магии
mana-steal-passive-name,Кража маны
manaflow-passive-name,Поток маны
mimicry-passive-name,Имитация
plated-rot-passive-name,Латная гниль
potential-seeker-passive-name,Искатель возможностей
prime-guard-passive-name,Главный страж
shaded-essence-passive-name,Темная сущность
shattered-breath-passive-name,Разбитое дыхание
shatterwave-passive-name,Сокрушительная волна
spell-block-passive-name,Блок заклинаний
spirit-of-the-unbroken-passive-name,Дух несломленных
strike-of-destiny-passive-name,Удар судьбы
thunderstrike-passive-name,Громовой удар
toxic-redemption-passive-name,Токсическое искупление
toxshield-passive-name,Токсщит
undead-blessing-passive-name,Мертвое благословение
undying-curse-passive-name,Неугасающее проклятие
vengeful-edge-passive-name,Мстительный клинок
warriors-resolute-passive-name,Решимость воина
whispers-of-anger-passive-name,Шёпот Гнева
wind’s-grace-passive-name,Благодать Ветра
wrath-of-the-broken-flesh-passive-name,Гнев истерзанной плоти
honor-trial-name,Честь
resilience-trial-name,Стойкость
swarm-trial-name,Рой
confrontation-trial-name,Противостояние
sagacity-trial-name,Проницательность
common-rarity-name,ОБЫЧН.
uncommon-rarity-name,НЕОБЫЧН.
rare-rarity-name,РЕДК.
legendary-rarity-name,ЛЕГЕНД.
mythic-rarity-name,МИФИЧ.
eternal-rarity-name,ВЕЧН.
abyssal-rarity-name,ГЛУБИН.
cosmic-rarity-name,КОСМИЧ.
divine-rarity-name,БОЖЕСТВ.
fren-adventurer-name,Френ
pyry-adventurer-name,Пири
sid-adventurer-name,Сид
elys-adventurer-name,Элис
fael-adventurer-name,Фэйль
tyr-adventurer-name,Тир
viran-adventurer-name,Виран
kinno-adventurer-name,Кинно
riel-adventurer-name,Риэль
amon-adventurer-name,Амон
jace-adventurer-name,Джейс
buff-status-effect-type-name,Положительный эффект
debuff-status-effect-type-name,Отрицательный эффект
penalty-status-effect-type-name,Штраф
neutral-status-effect-type-name,Нейтральный эффект
blessing-status-effect-type-name,Благословение
accuracy-stat-description,Определяет шанс попадания по цели
active-armor-stat-description,Оставшаяся |[armor]
adaptive-attack-stat-description,Повышает урон от текущей атаки
agility-stat-description,<.>| Определяет шанс на |[dodge]|\n|<.>| Снижается характеристикой |[active-armor]
armor-stat-description,Поглощает урон вместо |[health]|
armor-shields-stat-description,Количество стаков |[armor-shield]| которые вы получите|\n|в начале боя
armor-steal-stat-description,Количество для кражи при попадании по цели: |[armor]|\n|<696969>Нельзя украсть больше; чем ваша недостающая |[armor]|
armored-attack-stat-description,Преобразует % вашей |[active-armor]| в |[armor-damage]| при попадании
blackrot-damage-stat-description,Не действуют никакие эффекты
combat-stat-description,Увеличивает исходящий |[physical-damage]| на общую характеристику |[combat]
crit-chance-stat-description,Шанс на |[critical-strike]
critical-damage-stat-description,Повышает урон: |[critical-strike]| и |[omni-crit]
dazzle-stat-description,Число накладываемых на врага зарядов эффекта |[sparkle]| при попадании по нему
eldership-stat-description,<.>| Увеличивает |[magic-damage]| на сумму |[eldership]|\n|<.>| Увеличивает |[armor]| на сумму |[eldership]
electricity-stat-description,При попадании накладывает на цель |[electro-charge]|; число зарядов равно значению характеристики |[electricity]|\n|Ближайшие враги получают 25% зарядов
elemental-power-stat-description,Умножает следующие характеристики: |\n|<.>| |[freeze-attack]|\n|<.>| |[cinder-damage]|\n|<.>| |[electricity]|\n|<.>| |[toxicity]
elemental-resistance-stat-description,Снижает следующее: |\n|<.>| |[freeze-damage]|\n|<.>| |[cinder-damage]|\n|<.>| |[electric-damage]|\n|<.>| |[toxicity]
energy-stat-description,Позволяет выполнять действия
faith-stat-description,<.>| Определяет ваш шанс на |[cleanse]|:|\n|[0@silver]|[*0@silver]| В конце хода|\n|[4@silver]|[*4@silver]| При получении отрицательного эффекта|\n|\n|<.>| Снижается характеристикой |[greed]
flow-stat-description,Невозможно совершить ход; если |[flow]| ниже 0%
freeze-attack-stat-description,Наносимый при попадании |[freeze-damage]
gold-on-kill-stat-description,Повышает |[gold]| за каждое убийство
greed-stat-description,Умножает полученное золото
health-stat-description,Лимит получаемого урона; при превышении которого персонаж умирает
lethality-stat-description,Урон; после которого цель окажется ниже порога: % |[max-health]|\n|и при равенстве значению: % |[lethality]|; активируется |[execute]|.
life-steal-stat-description,Дает |[heal]| и восполняет |[health]| на % от: нанесенный |[physical-damage]
luck-stat-description,Ваш шанс выполнить следующее:|\n|[lucky-attack]
magic-attack-stat-description,Наносимый при попадании атаки |[magic-damage]
malice-stat-description,Если владельца атакуют; наносит |[malice-damage]|\n|атакующему в размере характеристики |[malice]
mana-stat-description,Часто необходимый для применения способности ресурс
max-health-stat-description,Макс. значение; до которого восстанавливается |[health]
max-mana-stat-description,Макс. значение; до которого восстанавливается |[mana]
omni-crit-chance-stat-description,Шанс на |[omni-crit]
omni-vamp-stat-description,Дает |[heal]| и восполняет |[health]| на % нанесенного |урона
penetration-stat-description,Игнорирует % характеристики |[armor]
physical-attack-stat-description,Наносимый при попадании атаки |[physical-damage]
power-stat-description,Умножает любой |[attack-damage]
recovery-stat-description,Каждый ход |[heal]| восстанавливает потерянное |[health]|\n|в размере характеристики |[recovery]
spelldom-stat-description,Количество |[magic-blitz]| в первый ход
tenacity-stat-description,Шанс не получить следующие эффекты: |\n|<.>| |[slowness]|\n|<.>| |[stun]|
total-attacks-stat-description,Число атак по цели
toughness-stat-description,Снижает урон; полученный от атак
toxicity-stat-description,При попадании накладывает |[poison]| (1 заряд) за каждую ед. характеристики |[toxicity]
wisdom-stat-description,<.>| Увеличивает исходящий |[magic-damage]| на общую |[wisdom]|
enervation-status-effect-description,Снижает весь урон от атак на 25% за каждый заряд
weakness-status-effect-description,Снижает урон от всех атак на 25% за заряд
black-curse-status-effect-description,Снижает все лечение на 75%
curse-status-effect-description,Снижает все лечение на 75%
stun-status-effect-description,После применения запрещает действовать на этом ходу
slowness-status-effect-description,Снижает |[agility]| на 100%
confusion-status-effect-description,Снижает |[accuracy]| на 100%
silence-status-effect-description,Запрещает использовать способности
toxic-transmute-status-effect-description,Каждый раз когда ваше здоровье должно получить урон;|\n|отменяет его; превращает его в |[poison]| и применяет|\n|на себя
poison-status-effect-description,В конце хода наносит непосредственный урон здоровью
bleed-status-effect-description,После каждой атаки; наносит урон |[bleed-damage]| по вашему |[health]|.|\n|Урон = (процент (%) стаков: |[bleed]|) * |[max-health]|.|\n|\n|<696969>Каждый ход: -2% |[bleed]|.
sparkle-status-effect-description,При попадании по цели |[sparkle]| взрывается (все заряды).|\n|Каждый заряд:|\n|\n|- Дает |[ephemeral-armor]| атакующему|\n|- Наносит |[dazzle-damage]| цели|\n
magic-shield-status-effect-description,Во время действия блокирует любой урон; затем разрушается и|\n|становится неактивен|\n|\n|<696969>(|[magic-damage]|<696969> его не разрушает)
ephemeral-armor-status-effect-description,Временная |[armor]|; действующая до конца боя|\n|\n|Дает |[ephemeral-lock]| при получении урона
ephemeral-shell-status-effect-description,Получаемый урон снижается на 12% за заряд
electro-charge-status-effect-description,Каждый ход наносит владельцу |[electric-damage]|; равный количеству зарядов
ephemeral-lock-status-effect-description,Запрещает получать эффект |[ephemeral-armor]
exhaustion-status-effect-description,Ограничивает |[total-attacks]| до 1
malice-shield-status-effect-description,В следующий раз; когда по вам должны попасть; разрушает 1 щит и|\n|игнорирует урон в размере характеристики |[malice]*|<483a5d>+1
armor-shield-status-effect-description,В следующий раз; когда по вам должны попасть; разрушает 1 щит и|\n|игнорирует урон в размере характеристики |[armor]*|<6d758d>+1
freeze-status-effect-description,Получаемый урон от всех источников увеличивается на 25%
fear-status-effect-description,Запрещает получать положительные эффекты
invulnerability-status-effect-description,Запрещает получать любой урон
arthurs-mark-status-effect-description,[block]|; |[parry]| и |[dodge]| запрещается использовать помеченной цели
timeout-status-effect-description,Запрещает действовать на этом ходу
cinder-essence-status-effect-description,В начале хода расходуется|\n|[cinder-essence]| (все заряды)|\n|и используется |[immolate]| за каждый из них
combat-insight-status-effect-description,Если в следующий раз; когда вас должны атаковать;|\n|у вас будет |[combat-insight]| (не менее 5 зарядов);|\n|расходует ее и использует |[parry]
magic-blitz-status-effect-description,При атаке расходует все заряды и за каждый дает:|\n|[magic-attack]| +100%
omni-blitz-status-effect-description,При атаке расходует все заряды и за каждый дает:|\n|[physical-attack]| и |[magic-attack]| +100%
vimblow-status-effect-description,При атаке расходует 1 заряд и дает бонус: |[physical-attack]| +25%|\n|значения характеристики |[max-health]
dread-status-effect-description,Враги с |[fear]| не будут атаковать вас
fury-status-effect-description,[physical-attack]| +25% за каждый заряд эффекта |[fury]|\n|<696969>(сброс в конце боя)|\n
counter-attack-charge-status-effect-description,Бьет атакующего
multi-attack-charge-status-effect-description,[multi-attack]| в этот ход
stun-attack-charge-status-effect-description,Все ваши попадания наложат на цель |[stun]|
debuff-immunity-status-effect-description,Запрещает получать отрицательные эффекты
golden-heart-status-effect-description,При падении до 0 |[health]|:|\n|<.>| воскресните и |[heal]| на 25% вашего |[max-health]|\n|[3@golden]|<.>| |[*3@golden]| получите |[invulnerability]|
lethality-status-effect-description,Нанесение урона цели который оставит её ниже % |[max-health]||\n|равного % |[lethality]| |[execute]| её
madness-status-effect-description,Позволяет атаковать только себя
blindness-status-effect-description,Снижает вашу |[accuracy]| на 100%
clarity-status-effect-description,В следующий раз; когда вы должны получить |[stun]|\n|поглотите 1 заряд |[clarity]| и отмените эффект
elusive-status-effect-description,Все атаки по вам потеряют 100% |[accuracy]|
purification-status-effect-description,В конце хода расходует 1 заряд и применяет |[cleanse]
grace-status-effect-description,Повышает весь урон
curse-of-the-tower-status-effect-description,Каждый ход получайте |[true-damage]|; равный 1% от вашего |[max-health]|\n|<696969>(получается; когда бой длится слишком долго)
unavoidable-keyword-description,Атака всегда попадает в цель
anti-steal-keyword-description,Защищает от эффекта |[steal]
ascend-keyword-description,Начните вознесенный забег с 1-го этажа; получаемый |[diamond]|\nбудет умножен на 2|<696969> (+1 за каждый уровень)|\n|<ff4500>Предметы с этажей 2+ из прошлых забегов будут|\n|<ff4500>удалены
tinker-keyword-description,Торговец сделает с вашими предметами следующее:|\n|<.>| Превратит перековки и предметы в наборы для умельца|\n|<.>| Улучшит перекованные предметы
heal-keyword-description,Действие; восполняющее |[health]| персонажа
tier-i-reward-keyword-description,<.>| |Получите дополнительный |[diamond]| при открытии сундука|\n|<.>| |Начните с +{gold} |[gold]
critical-strike-battle-action-description,[physical-damage]| |+100% + % характеристики |[critical-damage]
counter-attack-battle-action-description,Бьет атакующего
multi-attack-battle-action-description,Атакует всех врагов за один ход
lucky-attack-battle-action-description,Наносит 25% дополнительного урона
armor-break-battle-action-description,Разрушает броню цели и снижает ее до 0
omni-crit-battle-action-description,[physical-damage]| |и |[magic-damage]|\n|+100% + % характеристики |[critical-damage]
polymorph-battle-action-description,Превращает сильнейшего врага в случайного|\n|и сбрасывает его характеристики
immolate-battle-action-description,Наносит |[cinder-damage]| в размере 25% характеристики |\n|[max-health]| всем врагам в первом ряду
backstab-battle-action-description,Удар в спину врагу; наносящий урон от атаки|\n|<.>| | |[max-health]| врага выше 75%: Урон снижен на 45%|\n|<.>| | |[max-health]| врага 75% или ниже: Атака|\n| будет |[critical-strike]| и получит +25% |[accuracy]
cleanse-battle-action-description,Снимает случайный отрицательный эффект и снижает вашу |[faith]| на 25%|\n|<696969>сбрасывается каждый бой
dodge-battle-action-description,Позволяет избежать получаемый урон|\n|\n|Каждое ваше |[dodge]|\n|снижает |[agility]| на 25%|\n|\n|<696969>(сброс каждый бой)
parry-battle-action-description,Отражает урон и эффекты состояния в атакующего|\n|<696969>Если ваши атаки парируют 10 раз; ход заканчивается
block-battle-action-description,Снижает получаемый урон на 100%
guard-battle-action-description,Снижает получаемый урон на 25%
miss-battle-action-description,Атаки не попадают по цели|\n|<696969>После 10 промахов ход заканчивается
arcane-roulette-ability-description,Каждый раз; когда ломается ваш |[magic-shield]|; атакуется|\n|случайная цель\n|<696969>УСЛОВИЕ АКТИВАЦИИ: активный |[magic-shield]|
astral-dissolution-ability-description,Снимает все положительные эффекты с цели
barrier-ability-description,Дает |[magic-shield]
bloodlust-aura-ability-description,Наложите |[madness]| на всех врагов|\n|<696969>УСЛОВИЕ АКТИВАЦИИ: за один ход |[heal]|<696969> 25%|\n|<696969>ориентир — ваша |[max-health]|<696969>
burden-of-power-ability-description,В начале хода украдьте 75% урона атаки у всех врагов; на которых есть |[fear]||\n||\n|<696969>УСЛОВИЕ АКТИВАЦИИ: на врага наложено |[fear]|<696969>
confusion-strike-ability-description,[confusion]| +2 заряда при попадании
death-strike-ability-description,[crit-chance]| +100%|\n|на этом ходу
drain-react-ability-description,Наложите на всех врагов 5 ед. |[enervation]||\n|<696969>УСЛОВИЕ АКТИВАЦИИ: получить удар от врага; на котором есть |[poison]|
drop-of-chaos-ability-description,Накладывает случайный отрицательный эффект на цель
enchanted-attack-ability-description,Урон от атаки +100% на этом ходу
fear-of-faith-ability-description,[invulnerability]| +2 заряда
frozen-strike-ability-description,При попадании накладывает на цель |[weakness]| (3 заряда)
frozen-wind-ability-description,Накладывает |[weakness]| на цель и атакует ее
galefire-ability-description,Накладывает |[slowness]| на цель
headbutt-ability-description,Накладывает |[stun]| на цель при попадании
heart-of-iron-ability-description,Получите |[armor]|; значение равно: ваша |[health]||\n|<696969>УСЛОВИЕ АКТИВАЦИИ: получить 3 удара|\n|<696969>сбрасывается в каждом бою
mana-regen-ability-description,Восстанавливается вся потраченная |[mana]
mind-control-ability-description,Накладывает |[confusion]| на все цели
